date,newHospitalized,countHospitalized,countHospitalizedWithoutRelease,countHardStatus,countMediumStatus,countEasyStatus,countBreath,countDeath,numVisits,patientsHome,patientsHotel,countBreathCum,countDeathCum,countCriticalStatus,countSeriousCriticalCum,seriousCriticalNew,countEcmo,countDeadAvg7days,mediumNew,easyNew
2020-03-02,3,10,10,0,0,10,0,0,5429,,,0,0,0,0,0,,,0,3
2020-03-03,0,11,10,0,0,10,0,0,7589,,,0,0,0,0,0,,0.0,0,1
2020-03-04,3,12,11,0,0,12,0,0,6755,,,0,0,0,0,0,,0.0,0,3
2020-03-05,2,13,13,1,0,12,0,0,6836,,,0,0,0,1,1,0.0,0.0,0,1
2020-03-06,3,16,16,2,0,14,1,0,4978,,,1,0,0,2,1,0.0,0.0,0,3
2020-03-07,3,19,19,3,0,16,2,0,4682,,,2,0,0,3,1,0.0,0.0,0,2
2020-03-08,8,27,27,5,0,21,4,0,7075,,,4,0,0,5,2,,0.0,0,5
2020-03-09,16,43,43,5,0,35,4,0,6009,,,4,0,0,5,0,0.0,0.0,0,14
2020-03-10,19,63,63,6,0,55,5,0,5803,,,5,0,0,6,1,0.0,0.0,0,21
2020-03-11,25,87,86,7,1,76,6,0,5719,,,6,0,0,7,1,0.0,0.0,1,21
2020-03-12,23,110,107,7,1,99,6,0,5769,,,6,0,0,7,0,0.0,0.0,0,24
2020-03-13,23,129,128,7,5,114,6,0,3985,,,6,0,0,7,0,0.0,0.0,4,19
2020-03-14,40,169,167,6,5,155,4,0,3550,,,6,0,0,8,1,0.0,0.0,0,42
2020-03-15,41,208,206,9,7,189,6,0,5336,,,8,0,0,11,3,0.0,0.0,3,36
2020-03-16,24,230,222,11,6,207,7,0,4620,,,9,0,0,13,2,0.0,0.0,0,22
2020-03-17,48,272,269,12,7,243,7,0,4223,,,9,0,0,14,1,0.0,0.0,1,46
2020-03-18,53,323,284,16,12,287,7,0,3764,,,9,0,0,18,4,0.0,0.0,5,46
2020-03-19,30,313,277,21,12,270,12,0,3927,,,14,0,0,23,5,0.0,0.0,1,24
2020-03-20,30,307,263,23,15,258,12,1,3096,,,14,1,0,26,3,0.0,0.0,3,24
2020-03-21,34,298,290,27,22,238,15,0,2791,,,17,1,0,30,4,0.0,0.0,7,24
2020-03-22,54,344,323,38,33,265,22,0,4359,,,24,1,0,41,11,0.0,0.0,12,33
2020-03-23,58,380,341,44,37,285,24,0,3905,,,28,1,0,48,7,0.0,0.0,6,48
2020-03-24,81,424,363,48,49,314,26,3,3835,,,30,4,0,55,7,0.0,0.0,12,68
2020-03-25,81,443,420,52,54,325,28,1,3533,,,33,5,0,60,5,0.0,0.0,7,70
2020-03-26,81,501,440,56,67,364,31,5,3789,,,39,10,0,69,10,0.0,0.0,16,67
2020-03-27,110,546,491,66,71,398,37,2,3129,,,46,12,0,82,13,0.0,1.0,10,92
2020-03-28,52,542,506,70,83,378,41,1,2721,,,51,13,0,87,5,0.0,1.0,15,36
2020-03-29,69,575,537,80,89,392,50,3,4118,,,62,16,0,101,14,0.0,1.0,18,54
2020-03-30,122,657,597,90,106,441,55,1,3750,,,70,17,0,113,13,0.0,2.0,30,100
2020-03-31,109,705,651,99,117,470,64,4,3849,,,81,21,0,128,15,0.0,2.0,36,97
2020-04-01,148,800,741,111,143,522,73,8,3911,,,95,29,0,148,21,0.0,2.0,47,117
2020-04-02,115,854,740,113,145,563,79,9,4149,,,106,38,0,160,12,0.0,3.0,29,111
2020-04-03,98,837,737,131,159,529,93,5,3373,,,126,43,1,182,24,1.0,4.0,45,91
2020-04-04,71,810,759,140,170,483,107,6,3031,,,143,49,1,197,17,1.0,4.0,23,56
2020-04-05,99,856,747,135,193,501,107,7,4356,,,150,56,1,203,6,1.0,5.0,35,85
2020-04-06,93,840,699,147,208,455,110,8,3937,,,164,64,1,223,21,1.0,5.0,66,101
2020-04-07,73,768,662,160,204,388,106,8,4155,,,171,72,2,241,18,1.0,6.0,39,70
2020-04-08,58,720,623,166,196,338,115,8,3369,,,178,80,1,258,22,1.0,7.0,34,70
2020-04-09,64,687,641,166,189,319,117,9,3232,,,185,89,1,274,19,1.0,7.0,35,69
2020-04-10,55,696,612,170,173,337,128,8,3947,,,196,97,1,284,13,1.0,7.0,23,68
2020-04-11,40,652,608,182,163,290,130,6,3084,,,205,103,1,308,26,1.0,7.0,42,59
2020-04-12,90,697,635,177,175,326,130,6,4797,,,212,109,1,326,21,1.0,7.0,60,100
2020-04-13,91,724,641,192,169,343,137,9,4515,,,224,118,1,352,34,1.0,7.0,47,100
2020-04-14,70,712,650,178,173,342,134,8,4209,,,228,126,1,359,8,1.0,7.0,38,83
2020-04-15,69,722,678,179,175,346,133,13,3368,,,241,139,1,380,26,1.0,7.0,42,75
2020-04-16,51,729,651,182,163,366,137,7,5208,,,251,146,1,393,19,1.0,8.0,37,72
2020-04-17,48,699,627,165,163,347,124,9,4059,,,254,155,1,401,13,1.0,8.0,33,59
2020-04-18,41,673,627,174,141,332,118,11,3696,,,260,166,1,417,28,1.0,8.0,29,57
2020-04-19,40,661,587,157,148,328,118,8,5597,,,267,174,1,425,8,2.0,9.0,32,48
2020-04-20,49,635,557,154,135,321,123,6,4910,,,276,180,2,430,11,3.0,9.0,31,66
2020-04-21,27,583,522,145,146,265,119,10,4731,,,279,190,3,436,8,4.0,8.0,36,35
2020-04-22,36,555,501,149,122,262,110,3,4648,,,279,193,3,444,10,5.0,9.0,14,46
2020-04-23,32,532,459,146,106,251,115,4,5175,,,283,197,3,449,11,5.0,7.0,21,51
2020-04-24,26,486,452,144,109,219,110,3,4255,,,287,200,3,456,9,5.0,7.0,24,35
2020-04-25,8,459,436,136,105,204,107,3,3527,,,288,203,3,459,7,5.0,6.0,18,21
2020-04-26,32,467,415,142,91,208,111,2,5560,,,292,205,3,466,10,4.0,5.0,10,40
2020-04-27,21,436,387,132,89,197,101,4,5124,,,293,209,3,468,3,4.0,4.0,20,27
2020-04-28,28,414,372,127,85,186,100,5,4682,,,296,214,3,472,6,5.0,4.0,17,35
2020-04-29,22,394,374,122,86,178,96,6,4071,,,296,220,3,477,6,5.0,3.0,17,25
2020-04-30,19,393,348,112,87,182,90,6,5461,,,296,226,3,480,5,5.0,3.0,28,35
2020-05-01,20,368,330,109,81,159,89,4,4405,,,299,230,3,484,5,5.0,4.0,16,28
2020-05-02,14,344,334,111,67,163,90,3,3828,,,300,233,3,486,7,5.0,4.0,10,29
2020-05-03,14,346,305,101,71,158,84,3,5779,,,300,236,3,486,2,5.0,4.0,21,22
2020-05-04,18,323,282,97,71,144,78,3,5315,,,300,239,2,487,2,4.0,4.0,12,24
2020-05-05,9,291,261,91,61,123,72,2,5224,,,300,241,2,487,0,4.0,4.0,8,19
2020-05-06,15,276,252,88,61,122,70,1,5142,,,300,242,2,488,3,4.0,3.0,9,20
2020-05-07,13,266,248,84,60,115,70,1,5419,,,302,243,2,489,3,4.0,3.0,10,15
2020-05-08,13,260,244,78,53,116,64,6,4641,,,303,249,2,491,3,4.0,2.0,7,21
2020-05-09,10,254,248,78,50,123,64,3,3107,,,304,252,2,492,5,4.0,2.0,8,15
2020-05-10,14,261,232,74,51,124,66,4,6096,,,308,256,2,495,4,4.0,2.0,10,17
2020-05-11,9,240,217,69,54,110,60,5,5289,,,309,261,2,498,3,4.0,2.0,9,6
2020-05-12,10,228,208,66,52,105,56,3,5416,,,310,264,2,500,3,4.0,3.0,5,11
2020-05-13,10,216,206,61,48,98,53,3,5383,,,312,267,2,502,2,4.0,3.0,8,16
2020-05-14,6,211,194,61,43,98,52,3,5779,,,313,270,2,503,2,4.0,3.0,8,13
2020-05-15,1,195,190,61,43,89,52,0,5004,,,313,270,2,503,0,4.0,3.0,1,0
2020-05-16,4,194,189,60,40,87,51,3,4369,,,313,273,1,503,0,3.0,3.0,0,3
2020-05-17,10,198,178,55,38,97,45,4,6530,,,314,277,1,505,3,2.0,3.0,11,20
2020-05-18,3,181,165,52,42,82,43,3,5996,,,315,280,1,506,1,2.0,3.0,8,6
2020-05-19,7,172,164,51,43,76,40,2,6127,,,315,282,1,508,3,2.0,2.0,9,8
2020-05-20,4,169,151,46,40,77,41,1,6059,,,315,283,1,508,1,2.0,2.0,6,7
2020-05-21,8,158,145,47,31,77,37,0,6343,,,315,283,1,508,2,2.0,2.0,3,14
2020-05-22,5,151,146,46,32,69,37,0,5198,,,315,283,1,508,0,2.0,1.0,2,3
2020-05-23,3,148,147,46,33,68,37,0,4603,,,315,283,1,508,0,2.0,1.0,2,1
2020-05-24,0,147,130,43,36,66,34,1,6907,,,315,284,1,508,1,2.0,1.0,6,2
2020-05-25,8,138,128,41,32,63,29,2,6306,,,315,286,1,509,2,2.0,1.0,4,9
2020-05-26,3,131,123,36,37,55,32,0,6265,,,315,286,1,509,1,1.0,0.0,8,6
2020-05-27,6,129,121,40,37,50,36,2,6313,,,316,288,2,510,5,1.0,0.0,3,4
2020-05-28,7,128,120,36,37,54,34,1,5390,,,316,289,1,510,0,1.0,0.0,3,8
2020-05-29,5,125,125,39,36,49,37,0,4547,,,317,289,1,511,4,1.0,0.0,2,4
2020-05-30,5,130,129,35,43,52,33,0,4772,,,317,289,1,511,0,1.0,0.0,8,7
2020-05-31,5,134,125,35,47,51,31,0,7132,,,317,289,1,512,3,1.0,0.0,8,7
2020-06-01,12,138,116,32,45,55,29,3,6362,,,317,292,1,512,1,1.0,0.0,4,14
2020-06-02,13,129,120,29,44,53,29,2,6370,,,318,294,1,513,2,1.0,0.0,5,13
2020-06-03,8,127,122,28,42,55,25,1,6293,,,318,295,1,513,1,1.0,1.0,6,12
2020-06-04,11,134,120,30,37,65,23,0,6701,,,318,295,1,516,4,1.0,1.0,4,15
2020-06-05,8,127,116,29,41,56,23,1,5538,,,318,296,1,516,0,1.0,0.0,7,8
2020-06-06,9,125,119,29,42,50,21,4,4954,,,318,300,1,519,5,1.0,1.0,8,8
2020-06-07,12,131,125,29,42,58,23,2,7550,,,319,302,1,523,5,1.0,1.0,8,11
2020-06-08,16,142,126,30,46,64,23,0,6393,,,319,302,1,525,2,1.0,1.0,5,14
2020-06-09,10,137,123,31,42,63,24,1,6648,,,321,303,1,528,3,1.0,1.0,4,11
2020-06-10,25,146,129,32,45,69,24,1,6816,,,322,304,1,530,2,1.0,1.0,6,20
2020-06-11,13,142,131,35,38,68,24,0,6839,,,322,304,1,534,6,1.0,1.0,5,16
2020-06-12,13,144,132,35,43,66,25,0,5678,,,323,304,1,537,3,1.0,1.0,9,10
2020-06-13,11,142,138,35,45,61,26,1,5054,,,324,305,1,537,2,1.0,1.0,9,11
2020-06-14,15,153,139,31,48,72,23,2,7569,,,324,307,1,538,1,1.0,0.0,13,20
2020-06-15,23,163,141,36,47,79,25,0,6581,,,327,307,1,545,7,1.0,0.0,10,21
2020-06-16,21,160,141,38,44,77,26,1,6824,,,330,308,1,548,4,1.0,0.0,8,23
2020-06-17,23,165,156,36,49,80,29,0,6514,,,333,308,1,550,3,1.0,0.0,14,20
2020-06-18,37,193,167,40,43,110,28,0,6784,,,336,308,1,555,6,1.0,0.0,10,42
2020-06-19,29,200,189,39,47,111,29,1,5734,,,337,309,1,559,6,1.0,0.0,15,30
2020-06-20,32,221,216,41,50,129,28,1,5022,,,337,310,1,563,4,1.0,0.0,9,30
2020-06-21,38,253,219,45,59,149,29,0,7744,,,338,310,0,569,9,0.0,0.0,23,34
2020-06-22,23,241,206,44,56,139,29,1,6877,,,339,311,0,571,5,0.0,0.0,15,29
2020-06-23,21,228,201,40,52,132,26,2,6529,,,340,313,0,573,4,1.0,0.0,9,26
2020-06-24,34,233,202,45,45,139,27,3,6553,,,341,316,0,578,6,1.0,0.0,4,30
2020-06-25,26,228,201,44,56,124,28,4,6644,,,343,320,0,583,5,1.0,1.0,22,24
2020-06-26,46,247,225,45,57,142,26,3,5490,,,343,323,0,589,8,1.0,1.0,18,48
2020-06-27,26,251,230,40,56,151,22,3,4985,,,343,326,0,590,1,0.0,2.0,11,30
