date,amount,total,countDeadAvg7days
2020-03-02T00:00:00.000Z,0,0,
2020-03-03T00:00:00.000Z,0,0,0.0
2020-03-04T00:00:00.000Z,0,0,0.0
2020-03-05T00:00:00.000Z,0,0,0.0
2020-03-06T00:00:00.000Z,0,0,0.0
2020-03-07T00:00:00.000Z,0,0,0.0
2020-03-08T00:00:00.000Z,0,0,0.0
2020-03-09T00:00:00.000Z,0,0,0.0
2020-03-10T00:00:00.000Z,0,0,0.0
2020-03-11T00:00:00.000Z,0,0,0.0
2020-03-12T00:00:00.000Z,0,0,0.0
2020-03-13T00:00:00.000Z,0,0,0.0
2020-03-14T00:00:00.000Z,0,0,0.0
2020-03-15T00:00:00.000Z,0,0,0.0
2020-03-16T00:00:00.000Z,0,0,0.0
2020-03-17T00:00:00.000Z,0,0,0.0
2020-03-18T00:00:00.000Z,0,0,0.0
2020-03-19T00:00:00.000Z,0,0,0.0
2020-03-20T00:00:00.000Z,1,1,0.0
2020-03-21T00:00:00.000Z,0,1,0.0
2020-03-22T00:00:00.000Z,0,1,0.0
2020-03-23T00:00:00.000Z,0,1,0.0
2020-03-24T00:00:00.000Z,3,4,0.0
2020-03-25T00:00:00.000Z,1,5,0.0
2020-03-26T00:00:00.000Z,5,10,0.0
2020-03-27T00:00:00.000Z,2,12,1.0
2020-03-28T00:00:00.000Z,1,13,1.0
2020-03-29T00:00:00.000Z,3,16,1.0
2020-03-30T00:00:00.000Z,1,17,2.0
2020-03-31T00:00:00.000Z,4,21,2.0
2020-04-01T00:00:00.000Z,8,29,2.0
2020-04-02T00:00:00.000Z,9,38,3.0
2020-04-03T00:00:00.000Z,5,43,4.0
2020-04-04T00:00:00.000Z,6,49,4.0
2020-04-05T00:00:00.000Z,7,56,5.0
2020-04-06T00:00:00.000Z,8,64,5.0
2020-04-07T00:00:00.000Z,8,72,6.0
2020-04-08T00:00:00.000Z,8,80,7.0
2020-04-09T00:00:00.000Z,9,89,7.0
2020-04-10T00:00:00.000Z,8,97,7.0
2020-04-11T00:00:00.000Z,6,103,7.0
2020-04-12T00:00:00.000Z,6,109,7.0
2020-04-13T00:00:00.000Z,9,118,7.0
2020-04-14T00:00:00.000Z,8,126,7.0
2020-04-15T00:00:00.000Z,13,139,7.0
2020-04-16T00:00:00.000Z,7,146,8.0
2020-04-17T00:00:00.000Z,9,155,8.0
2020-04-18T00:00:00.000Z,11,166,8.0
2020-04-19T00:00:00.000Z,8,174,9.0
2020-04-20T00:00:00.000Z,6,180,9.0
2020-04-21T00:00:00.000Z,10,190,8.0
2020-04-22T00:00:00.000Z,3,193,9.0
2020-04-23T00:00:00.000Z,4,197,7.0
2020-04-24T00:00:00.000Z,3,200,7.0
2020-04-25T00:00:00.000Z,3,203,6.0
2020-04-26T00:00:00.000Z,2,205,5.0
2020-04-27T00:00:00.000Z,4,209,4.0
2020-04-28T00:00:00.000Z,5,214,4.0
2020-04-29T00:00:00.000Z,6,220,3.0
2020-04-30T00:00:00.000Z,6,226,3.0
2020-05-01T00:00:00.000Z,4,230,4.0
2020-05-02T00:00:00.000Z,3,233,4.0
2020-05-03T00:00:00.000Z,3,236,4.0
2020-05-04T00:00:00.000Z,3,239,4.0
2020-05-05T00:00:00.000Z,2,241,4.0
2020-05-06T00:00:00.000Z,1,242,3.0
2020-05-07T00:00:00.000Z,1,243,3.0
2020-05-08T00:00:00.000Z,6,249,2.0
2020-05-09T00:00:00.000Z,3,252,2.0
2020-05-10T00:00:00.000Z,4,256,2.0
2020-05-11T00:00:00.000Z,5,261,2.0
2020-05-12T00:00:00.000Z,3,264,3.0
2020-05-13T00:00:00.000Z,3,267,3.0
2020-05-14T00:00:00.000Z,3,270,3.0
2020-05-15T00:00:00.000Z,0,270,3.0
2020-05-16T00:00:00.000Z,3,273,3.0
2020-05-17T00:00:00.000Z,4,277,3.0
2020-05-18T00:00:00.000Z,3,280,3.0
2020-05-19T00:00:00.000Z,2,282,2.0
2020-05-20T00:00:00.000Z,1,283,2.0
2020-05-21T00:00:00.000Z,0,283,2.0
2020-05-22T00:00:00.000Z,0,283,1.0
2020-05-23T00:00:00.000Z,0,283,1.0
2020-05-24T00:00:00.000Z,1,284,1.0
2020-05-25T00:00:00.000Z,2,286,1.0
2020-05-26T00:00:00.000Z,0,286,0.0
2020-05-27T00:00:00.000Z,2,288,0.0
2020-05-28T00:00:00.000Z,1,289,0.0
2020-05-29T00:00:00.000Z,0,289,0.0
2020-05-30T00:00:00.000Z,0,289,0.0
2020-05-31T00:00:00.000Z,0,289,0.0
2020-06-01T00:00:00.000Z,3,292,0.0
2020-06-02T00:00:00.000Z,2,294,0.0
2020-06-03T00:00:00.000Z,1,295,1.0
2020-06-04T00:00:00.000Z,0,295,1.0
2020-06-05T00:00:00.000Z,1,296,0.0
2020-06-06T00:00:00.000Z,4,300,1.0
2020-06-07T00:00:00.000Z,2,302,1.0
2020-06-08T00:00:00.000Z,0,302,1.0
2020-06-09T00:00:00.000Z,1,303,1.0
2020-06-10T00:00:00.000Z,1,304,1.0
2020-06-11T00:00:00.000Z,0,304,1.0
2020-06-12T00:00:00.000Z,0,304,1.0
2020-06-13T00:00:00.000Z,1,305,1.0
2020-06-14T00:00:00.000Z,2,307,0.0
2020-06-15T00:00:00.000Z,0,307,0.0
2020-06-16T00:00:00.000Z,1,308,0.0
2020-06-17T00:00:00.000Z,0,308,0.0
2020-06-18T00:00:00.000Z,0,308,0.0
2020-06-19T00:00:00.000Z,1,309,0.0
2020-06-20T00:00:00.000Z,1,310,0.0
2020-06-21T00:00:00.000Z,0,310,0.0
2020-06-22T00:00:00.000Z,1,311,0.0
2020-06-23T00:00:00.000Z,2,313,0.0
2020-06-24T00:00:00.000Z,3,316,0.0
2020-06-25T00:00:00.000Z,4,320,1.0
2020-06-26T00:00:00.000Z,3,323,1.0
2020-06-27T00:00:00.000Z,3,326,2.0
2020-06-28T00:00:00.000Z,2,328,2.0
2020-06-29T00:00:00.000Z,0,328,2.0
2020-06-30T00:00:00.000Z,1,329,2.0
2020-07-01T00:00:00.000Z,3,332,2.0
2020-07-02T00:00:00.000Z,1,333,2.0
2020-07-03T00:00:00.000Z,3,336,1.0
2020-07-04T00:00:00.000Z,5,341,1.0
2020-07-05T00:00:00.000Z,2,343,2.0
2020-07-06T00:00:00.000Z,8,351,2.0
2020-07-07T00:00:00.000Z,5,356,3.0
2020-07-08T00:00:00.000Z,5,361,3.0
2020-07-09T00:00:00.000Z,5,366,4.0
2020-07-10T00:00:00.000Z,4,370,4.0
2020-07-11T00:00:00.000Z,5,375,4.0
2020-07-12T00:00:00.000Z,7,382,4.0
2020-07-13T00:00:00.000Z,4,386,5.0
2020-07-14T00:00:00.000Z,7,393,5.0
2020-07-15T00:00:00.000Z,6,399,5.0
2020-07-16T00:00:00.000Z,9,408,5.0
2020-07-17T00:00:00.000Z,12,420,6.0
2020-07-18T00:00:00.000Z,8,428,7.0
2020-07-19T00:00:00.000Z,10,438,7.0
2020-07-20T00:00:00.000Z,12,450,8.0
2020-07-21T00:00:00.000Z,9,459,9.0
2020-07-22T00:00:00.000Z,6,465,9.0
2020-07-23T00:00:00.000Z,16,481,9.0
2020-07-24T00:00:00.000Z,8,489,10.0
2020-07-25T00:00:00.000Z,7,496,9.0
2020-07-26T00:00:00.000Z,10,506,9.0
2020-07-27T00:00:00.000Z,7,513,9.0
2020-07-28T00:00:00.000Z,8,521,9.0
2020-07-29T00:00:00.000Z,15,536,8.0
2020-07-30T00:00:00.000Z,15,551,10.0
2020-07-31T00:00:00.000Z,14,565,10.0
2020-08-01T00:00:00.000Z,14,579,10.0
2020-08-02T00:00:00.000Z,12,591,11.0
2020-08-03T00:00:00.000Z,15,606,12.0
2020-08-04T00:00:00.000Z,11,617,13.0
2020-08-05T00:00:00.000Z,10,627,13.0
2020-08-06T00:00:00.000Z,9,636,13.0
2020-08-07T00:00:00.000Z,12,648,12.0
2020-08-08T00:00:00.000Z,13,661,11.0
2020-08-09T00:00:00.000Z,8,669,11.0
2020-08-10T00:00:00.000Z,15,684,11.0
2020-08-11T00:00:00.000Z,11,695,11.0
2020-08-12T00:00:00.000Z,16,711,11.0
2020-08-13T00:00:00.000Z,16,727,12.0
2020-08-14T00:00:00.000Z,12,739,13.0
2020-08-15T00:00:00.000Z,10,749,13.0
2020-08-16T00:00:00.000Z,20,769,12.0
2020-08-17T00:00:00.000Z,4,773,14.0
2020-08-18T00:00:00.000Z,14,787,12.0
2020-08-19T00:00:00.000Z,12,799,13.0
2020-08-20T00:00:00.000Z,14,813,12.0
2020-08-21T00:00:00.000Z,13,826,12.0
2020-08-22T00:00:00.000Z,10,836,12.0
2020-08-23T00:00:00.000Z,13,849,12.0
2020-08-24T00:00:00.000Z,16,865,11.0
2020-08-25T00:00:00.000Z,19,884,13.0
2020-08-26T00:00:00.000Z,11,895,13.0
2020-08-27T00:00:00.000Z,11,906,13.0
2020-08-28T00:00:00.000Z,13,919,13.0
2020-08-29T00:00:00.000Z,5,924,13.0
2020-08-30T00:00:00.000Z,14,938,12.0
2020-08-31T00:00:00.000Z,23,961,12.0
2020-09-01T00:00:00.000Z,15,976,13.0
2020-09-02T00:00:00.000Z,13,989,13.0
2020-09-03T00:00:00.000Z,16,1005,13.0
2020-09-04T00:00:00.000Z,12,1017,14.0
2020-09-05T00:00:00.000Z,15,1032,14.0
2020-09-06T00:00:00.000Z,12,1044,15.0
2020-09-07T00:00:00.000Z,17,1061,15.0
2020-09-08T00:00:00.000Z,20,1081,14.0
2020-09-09T00:00:00.000Z,15,1096,15.0
2020-09-10T00:00:00.000Z,14,1110,15.0
2020-09-11T00:00:00.000Z,20,1130,15.0
2020-09-12T00:00:00.000Z,15,1145,16.0
2020-09-13T00:00:00.000Z,17,1162,16.0
2020-09-14T00:00:00.000Z,20,1182,16.0
2020-09-15T00:00:00.000Z,16,1198,17.0
2020-09-16T00:00:00.000Z,26,1224,16.0
2020-09-17T00:00:00.000Z,17,1241,18.0
2020-09-18T00:00:00.000Z,21,1262,18.0
2020-09-19T00:00:00.000Z,28,1290,18.0
2020-09-20T00:00:00.000Z,21,1311,20.0
2020-09-21T00:00:00.000Z,32,1343,21.0
2020-09-22T00:00:00.000Z,25,1368,23.0
2020-09-23T00:00:00.000Z,25,1393,24.0
2020-09-24T00:00:00.000Z,31,1424,24.0
2020-09-25T00:00:00.000Z,29,1453,26.0
2020-09-26T00:00:00.000Z,27,1480,27.0
2020-09-27T00:00:00.000Z,31,1511,27.0
2020-09-28T00:00:00.000Z,29,1540,28.0
2020-09-29T00:00:00.000Z,35,1575,28.0
2020-09-30T00:00:00.000Z,37,1612,29.0
2020-10-01T00:00:00.000Z,46,1658,31.0
2020-10-02T00:00:00.000Z,25,1683,33.0
2020-10-03T00:00:00.000Z,38,1721,32.0
2020-10-04T00:00:00.000Z,37,1758,34.0
2020-10-05T00:00:00.000Z,27,1785,35.0
2020-10-06T00:00:00.000Z,45,1830,35.0
2020-10-07T00:00:00.000Z,26,1856,36.0
2020-10-08T00:00:00.000Z,47,1903,34.0
