date,day,hosp no vacc,hosp in process,hosp vacc,severe no vacc,severe in process,severe vacc,deaths no vacc,deaths in process,deaths vacc,cases no vacc,cases in process,cases vacc,vent 60+,vent 40-60,vent <40,severe 65+,severe 40-65,severe   <40,cases 50+,cases 16-50,cases <16,cases
06/07/2021,Mon,0,0,3,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,
06/08/2021,Tue,2,0,3,0,0,1,0,0,1,,,,0,0,0,1,0,0,,,,
06/09/2021,Wed,2,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,,,,
06/10/2021,Thu,4,1,2,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,,,,
06/11/2021,Fri,1,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,,,,
06/12/2021,Sat,2,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,,,,
06/13/2021,Sun,3,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,,,
06/14/2021,Mon,1,0,2,0,0,1,0,0,0,10,1,14,0,0,0,1,0,0,,,,
06/15/2021,Tue,1,0,1,0,0,0,0,0,0,8,1,16,0,0,0,0,0,0,,,,
06/16/2021,Wed,3,0,3,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,,,,
06/17/2021,Thu,0,1,1,0,0,0,0,0,0,8,0,18,1,0,0,0,0,0,,,,
06/18/2021,Fri,1,0,1,0,0,0,0,0,0,12,1,22,0,0,0,0,0,0,,,,
06/19/2021,Sat,1,0,3,0,0,0,0,0,0,6,1,39,0,0,0,0,0,0,,,,
06/20/2021,Sun,6,0,0,1,0,1,0,0,0,20,4,25,0,0,0,1,1,0,,,,
06/21/2021,Mon,0,0,0,0,0,0,0,0,0,41,8,77,2,1,0,0,0,0,,,,
06/22/2021,Tue,4,0,2,2,0,0,0,0,0,41,8,63,0,0,0,1,0,1,,,,
06/23/2021,Wed,5,1,3,0,0,0,1,0,0,48,4,88,0,0,0,0,0,0,,,,
06/24/2021,Thu,2,0,3,0,0,0,0,0,0,101,7,121,0,0,0,0,0,0,,,,
06/25/2021,Fri,1,2,1,0,0,1,0,0,0,96,4,129,0,0,0,1,0,0,,,,
06/26/2021,Sat,0,0,2,0,0,1,0,0,0,43,5,67,0,0,1,1,0,0,,,64,116
06/27/2021,Sun,4,1,4,0,1,0,0,0,0,75,2,68,0,0,0,0,1,0,,,65,145
06/28/2021,Mon,4,0,4,0,0,0,0,0,0,153,12,123,1,0,0,0,0,0,71,77,140,288
06/29/2021,Tue,5,0,6,0,0,0,0,0,0,169,10,114,0,0,0,0,0,0,56,75,162,293
06/30/2021,Wed,1,0,5,1,0,4,0,0,0,163,16,130,0,0,0,5,0,0,68,96,145,309
07/01/2021,Thu,3,0,1,0,0,1,0,0,0,139,12,146,1,0,0,0,1,0,77,95,125,297
07/02/2021,Fri,4,0,7,2,0,1,0,0,0,172,11,145,0,0,0,2,0,1,67,107,154,328
07/03/2021,Sat,3,0,5,2,0,2,0,0,0,106,2,78,0,0,0,3,0,1,,,93,186
07/04/2021,Sun,1,0,10,2,1,2,0,0,0,164,6,176,1,0,0,2,3,0,78,117,151,346
07/05/2021,Mon,4,0,10,3,0,3,0,0,0,271,20,213,0,1,0,3,2,1,104,157,243,504
07/06/2021,Tue,5,0,11,3,0,3,0,0,0,271,29,227,0,0,0,2,2,2,116,187,224,527
07/07/2021,Wed,4,2,5,3,0,5,1,0,0,238,25,261,1,0,0,4,2,2,136,184,204,524
07/08/2021,Thu,1,1,9,2,0,5,0,0,2,183,13,267,0,1,0,5,2,0,117,190,156,463
07/09/2021,Fri,3,0,7,0,0,4,0,0,0,243,21,271,0,0,0,3,1,0,130,198,207,535
07/10/2021,Sat,4,0,5,2,0,3,0,0,2,125,13,125,0,0,0,5,0,0,44,101,117,262
07/11/2021,Sun,3,0,14,2,0,8,1,0,1,159,18,265,1,0,0,9,1,0,125,181,135,442
07/12/2021,Mon,8,1,13,1,0,5,0,0,2,324,22,415,0,0,0,5,1,0,162,329,270,761
07/13/2021,Tue,4,1,15,2,0,4,1,0,0,334,25,399,2,0,0,3,3,0,179,299,280,758
07/14/2021,Wed,8,0,15,0,0,11,0,0,3,340,27,402,2,0,0,11,0,0,171,318,280,769
07/15/2021,Thu,7,2,20,4,1,5,0,0,1,389,38,434,0,0,0,6,3,1,170,360,328,861
07/16/2021,Fri,5,1,17,0,0,6,0,0,0,527,42,560,0,0,0,5,1,0,247,436,444,1129
07/17/2021,Sat,4,0,9,5,0,8,0,0,1,180,25,228,1,0,0,8,4,1,111,172,150,433
07/18/2021,Sun,11,0,21,4,0,13,2,0,2,357,31,452,0,0,0,12,4,1,199,349,291,840
07/19/2021,Mon,14,1,15,3,0,6,0,0,2,649,48,688,0,0,0,7,2,0,261,593,531,1385
07/20/2021,Tue,19,0,28,8,1,2,0,0,2,610,37,764,1,0,0,3,7,1,320,616,475,1411
07/21/2021,Wed,11,0,15,7,0,6,0,0,3,608,31,705,1,1,0,6,5,2,305,552,487,1344
07/22/2021,Thu,15,0,30,3,0,14,0,0,0,585,39,655,2,0,0,12,4,1,260,547,472,1279
07/23/2021,Fri,14,1,22,6,0,16,0,0,0,630,27,776,3,0,0,15,5,2,324,592,517,1433
07/24/2021,Sat,4,0,13,4,1,11,1,0,2,427,24,515,0,0,0,10,6,0,224,397,345,966
07/25/2021,Sun,15,2,32,6,0,11,1,0,2,,,,0,0,0,14,3,3,,,,
07/26/2021,Mon,20,0,41,11,0,22,1,0,0,,,,5,1,1,24,7,2,,,,
