date,amount,recovered,avg,sum,coronaEvents,recovered_cum,recoveredAvg
12-Feb-2020,0,0,,7,,102,
13-Feb-2020,0,0,0,7,,102,0
14-Feb-2020,0,0,0,7,,102,0
15-Feb-2020,0,0,0,7,,102,0
16-Feb-2020,0,0,0,7,,102,0
17-Feb-2020,0,0,0,7,,102,0
18-Feb-2020,0,0,0,7,,102,0
19-Feb-2020,0,0,0,7,,102,0
20-Feb-2020,0,1,0,7,,103,0
21-Feb-2020,1,0,0,8,,103,0
22-Feb-2020,0,0,0,8,,103,0
23-Feb-2020,0,0,0,8,,103,0
24-Feb-2020,1,0,0,9,,103,0
25-Feb-2020,0,0,0,9,,103,0
26-Feb-2020,0,0,0,9,,103,0
27-Feb-2020,1,0,0,10,,103,0
28-Feb-2020,3,0,0,13,,103,0
29-Feb-2020,0,0,0,13,,103,0
01-Mar-2020,1,0,0,14,,103,0
02-Mar-2020,5,0,0,19,,103,0
03-Mar-2020,3,0,1,22,,103,0
04-Mar-2020,0,0,1,22,,103,0
05-Mar-2020,9,0,1,31,,103,0
06-Mar-2020,4,0,3,35,,103,0
07-Mar-2020,4,0,3,39,,103,0
08-Mar-2020,9,0,3,48,,103,0
09-Mar-2020,4,0,4,52,,103,0
10-Mar-2020,33,0,4,85,,103,0
11-Mar-2020,19,0,9,104,,103,0
12-Mar-2020,22,0,11,126,,103,0
13-Mar-2020,35,1,13,161,,104,0
14-Mar-2020,29,0,18,190,סגר ראשון ,104,0
15-Mar-2020,40,0,21,230,,104,0
16-Mar-2020,73,0,26,303,,104,0
17-Mar-2020,94,2,35,397,,106,0
18-Mar-2020,125,2,44,522,,108,0
19-Mar-2020,136,4,59,658,,112,0
20-Mar-2020,168,1,76,826,,113,1
21-Mar-2020,209,0,95,1035,,113,1
22-Mar-2020,252,5,120,1287,,118,1
23-Mar-2020,350,5,151,1637,,123,2
24-Mar-2020,420,5,190,2057,,128,2
25-Mar-2020,423,6,237,2480,,134,3
26-Mar-2020,519,9,279,2999,,143,3
27-Mar-2020,432,18,334,3431,,161,4
28-Mar-2020,476,9,372,3907,,170,6
29-Mar-2020,528,14,410,4435,,184,8
30-Mar-2020,551,33,449,4986,,217,9
31-Mar-2020,737,43,478,5723,,260,13
01-Apr-2020,694,32,523,6417,,292,18
02-Apr-2020,724,79,562,7141,,371,22
03-Apr-2020,600,54,591,7741,,425,32
04-Apr-2020,428,52,615,8169,,477,37
05-Apr-2020,584,100,608,8753,,577,43
06-Apr-2020,449,118,616,9202,,695,56
07-Apr-2020,376,120,602,9578,,815,68
08-Apr-2020,340,105,550,9918,,920,79
09-Apr-2020,340,110,500,10258,,1030,89
10-Apr-2020,355,123,445,10613,,1153,94
11-Apr-2020,342,120,410,10955,,1273,104
12-Apr-2020,551,258,398,11506,,1531,113
13-Apr-2020,437,278,393,11943,,1809,136
14-Apr-2020,394,286,391,12337,,2095,159
15-Apr-2020,305,276,394,12642,,2371,182
16-Apr-2020,296,328,389,12938,,2699,207
17-Apr-2020,297,356,382,13235,,3055,238
18-Apr-2020,288,249,374,13523,,3304,271
19-Apr-2020,274,380,366,13797,פתיחת משק חלקית לאחר סגר ראשון,3684,290
20-Apr-2020,297,448,327,14094,,4132,307
21-Apr-2020,279,371,307,14373,,4503,331
22-Apr-2020,226,391,290,14599,,4894,344
23-Apr-2020,275,328,279,14874,,5222,360
24-Apr-2020,249,337,276,15123,,5559,360
25-Apr-2020,159,375,269,15282,,5934,357
26-Apr-2020,82,431,251,15364,,6365,375
27-Apr-2020,127,467,223,15491,,6832,383
28-Apr-2020,161,564,199,15652,,7396,385
29-Apr-2020,82,350,182,15734,,7746,413
30-Apr-2020,143,426,162,15877,,8172,407
01-May-2020,116,423,143,15993,,8595,421
02-May-2020,57,277,124,16050,,8872,433
03-May-2020,27,286,109,16077,,9158,419
04-May-2020,55,257,101,16132,,9415,399
05-May-2020,33,318,91,16165,,9733,369
06-May-2020,65,261,73,16230,,9994,333
07-May-2020,61,225,70,16291,,10219,321
08-May-2020,33,222,59,16324,,10441,292
09-May-2020,20,91,47,16344,,10532,263
10-May-2020,29,168,42,16373,,10700,237
11-May-2020,39,327,42,16412,,11027,220
12-May-2020,23,258,40,16435,,11285,230
13-May-2020,39,177,38,16474,,11462,221
14-May-2020,22,240,34,16496,,11702,209
15-May-2020,12,160,29,16508,,11862,211
16-May-2020,5,101,26,16513,,11963,203
17-May-2020,15,150,24,16528,,12113,204
18-May-2020,27,273,22,16555,,12386,201
19-May-2020,22,152,20,16577,,12538,194
20-May-2020,15,109,20,16592,,12647,179
21-May-2020,18,122,16,16610,,12769,169
22-May-2020,19,162,16,16629,,12931,152
23-May-2020,5,43,17,16634,,12974,152
24-May-2020,13,115,17,16647,,13089,144
25-May-2020,22,132,17,16669,,13221,139
26-May-2020,50,91,16,16719,,13312,119
27-May-2020,40,60,20,16759,פתיחת משק מלאה לאחר סגר ראשון,13372,110
28-May-2020,77,113,23,16836,,13485,103
29-May-2020,113,39,32,16949,,13524,102
30-May-2020,29,41,45,16978,,13565,84
31-May-2020,87,61,49,17065,,13626,84
01-Jun-2020,100,67,59,17165,,13693,76
02-Jun-2020,121,53,70,17286,,13746,67
03-Jun-2020,96,27,81,17382,,13773,62
04-Jun-2020,142,42,89,17524,,13815,57
05-Jun-2020,127,37,98,17651,,13852,47
06-Jun-2020,78,24,100,17729,,13876,46
07-Jun-2020,140,42,107,17869,,13918,44
08-Jun-2020,179,39,114,18048,,13957,41
09-Jun-2020,174,46,126,18222,,14003,37
10-Jun-2020,241,52,133,18463,,14055,36
11-Jun-2020,192,55,154,18655,,14110,40
12-Jun-2020,184,53,161,18839,,14163,42
13-Jun-2020,149,41,169,18988,,14204,44
14-Jun-2020,137,50,179,19125,,14254,46
15-Jun-2020,200,88,179,19325,,14342,48
16-Jun-2020,298,51,182,19623,,14393,55
17-Jun-2020,269,48,200,19892,,14441,55
18-Jun-2020,303,50,204,20195,,14491,55
19-Jun-2020,311,57,220,20506,,14548,54
20-Jun-2020,161,37,238,20667,,14585,55
21-Jun-2020,174,49,239,20841,,14634,54
22-Jun-2020,344,60,245,21185,,14694,54
23-Jun-2020,452,84,265,21637,,14778,50
24-Jun-2020,486,72,287,22123,,14850,55
25-Jun-2020,516,76,318,22639,,14926,58
26-Jun-2020,464,130,349,23103,,15056,62
27-Jun-2020,397,50,371,23500,,15106,72
28-Jun-2020,383,139,404,23883,,15245,74
