date,confirmed,recovered,deceased,on_ventilator,critical,severe,mild,hospitalized,home_care,critical_cumulative
09-Mar-2020 08:16:00,39,,0,1,,,,,,1
11-Mar-2020 08:00:00,76,,0,,,,,,,1
11-Mar-2020 18:00:00,79,,0,,,,,,,
11-Mar-2020 18:45:00,82,,0,2,,,,,,
12-Mar-2020 08:00:00,100,,0,,,,,,,2
12-Mar-2020 18:00:00,109,,0,2,,,,,,
13-Mar-2020 08:00:00,126,,0,,2,5,119,,,3
13-Mar-2020 18:00:00,143,,0,2,3,8,132,,,
14-Mar-2020 08:00:00,154,,0,,,,,,,3
14-Mar-2020 12:00:00,164,,0,,2,10,152,,,
14-Mar-2020 18:00:00,178,,0,2,2,11,165,,,
15-Mar-2020 08:00:00,200,4,0,,2,11,178,,,3
15-Mar-2020 18:00:00,213,4,0,4,2,12,195,,,
16-Mar-2020 08:00:00,250,4,0,,4,11,231,,,5
16-Mar-2020 21:30:00,298,4,0,5,4,9,281,,,
17-Mar-2020 08:00:00,304,5,0,,4,11,284,,,6
17-Mar-2020 14:00:00,324,11,0,,5,9,299,,,
17-Mar-2020 22:00:00,337,11,0,5,5,10,311,,,
18-Mar-2020 07:00:00,427,11,0,,5,10,401,,,7
18-Mar-2020 15:00:00,433,11,0,6,6,12,404,,,
19-Mar-2020 10:00:00,529,12,0,,6,13,498,,,7
19-Mar-2020 20:00:00,573,14,0,,6,13,540,,,
19-Mar-2020 22:00:00,677,14,0,12,6,13,644,,,
20-Mar-2020 12:00:00,705,15,0,15,10,18,662,,,12
21-Mar-2020 11:00:00,883,36,1,15,15,19,812,,,17
22-Mar-2020 08:00:00,945,37,1,15,20,24,863,,,26
22-Mar-2020 21:00:00,1071,37,1,29,18,30,985,,,
23-Mar-2020 08:00:00,1238,37,1,29,24,32,1144,,,31
23-Mar-2020 21:00:00,1442,41,1,31,29,40,1331,,,
24-Mar-2020 08:00:00,1656,49,1,31,31,47,1528,,,42
24-Mar-2020 21:00:00,1930,53,3,34,34,45,1795,,,
25-Mar-2020 08:00:00,2030,58,5,34,37,54,1876,,,46
25-Mar-2020 20:30:00,2369,64,5,37,39,64,2197,,,
26-Mar-2020 08:00:00,2495,66,5,37,41,68,2315,,,56
26-Mar-2020 13:30:00,2666,68,8,,39,68,2485,,,
26-Mar-2020 20:00:00,2693,70,8,38,46,67,2502,,,
27-Mar-2020 08:00:00,3035,79,10,38,49,60,2838,,,63
28-Mar-2020 09:00:00,3460,89,12,43,50,73,3236,,,69
28-Mar-2020 20:00:00,3619,89,12,59,54,81,3383,,,
