date,confirmed,recovered,deceased,on_ventilator,critical,severe,mild,hospitalized,home_care,critical_cumulative
09-Mar-2020 08:16:00,39,,0,1,,,,,,1
11-Mar-2020 08:00:00,76,3,0,,1,6,66,63,,1
11-Mar-2020 18:00:00,79,3,0,,1,5,70,71,,
11-Mar-2020 18:45:00,82,3,0,2,1,5,73,71,,
12-Mar-2020 08:00:00,100,3,0,,2,4,91,91,,2
12-Mar-2020 18:00:00,109,3,0,2,2,5,99,88,,
13-Mar-2020 08:00:00,126,,0,,2,5,119,100,,3
13-Mar-2020 18:00:00,143,,0,2,3,8,132,106,,
14-Mar-2020 08:00:00,154,,0,,3,7,125,,,3
14-Mar-2020 12:00:00,164,,0,,2,10,152,124,,
14-Mar-2020 18:00:00,178,,0,2,2,11,165,131,,
15-Mar-2020 08:00:00,200,4,0,,2,11,183,157,,3
15-Mar-2020 18:00:00,213,4,0,4,2,12,195,167,,
16-Mar-2020 08:00:00,250,4,0,,4,11,231,190,,5
16-Mar-2020 21:30:00,298,4,0,5,4,9,281,200,,
17-Mar-2020 08:00:00,304,5,0,,4,11,284,223,,6
17-Mar-2020 14:00:00,324,11,0,,5,9,299,229,,
17-Mar-2020 22:00:00,337,11,0,5,5,10,311,234,,
18-Mar-2020 07:00:00,427,11,0,,5,10,401,236,,7
18-Mar-2020 15:00:00,433,11,0,6,6,12,404,260,,
19-Mar-2020 10:00:00,529,12,0,,6,13,498,279,,7
19-Mar-2020 20:00:00,573,14,0,,6,13,540,266,,
19-Mar-2020 22:00:00,677,14,0,12,6,13,644,266,,
20-Mar-2020 12:00:00,705,15,0,15,10,18,662,271,,12
21-Mar-2020 11:00:00,883,36,1,15,15,19,812,274,,17
22-Mar-2020 08:00:00,945,37,1,15,20,24,863,297,,26
22-Mar-2020 21:00:00,1071,37,1,29,18,30,985,314,,
23-Mar-2020 08:00:00,1238,37,1,29,24,32,1144,351,,31
23-Mar-2020 21:00:00,1442,41,1,31,29,40,1331,346,,
24-Mar-2020 08:00:00,1656,49,1,31,31,47,1528,,,42
24-Mar-2020 21:00:00,1930,53,3,34,34,45,1795,349,,
25-Mar-2020 08:00:00,2030,58,5,34,37,54,1876,371,,46
25-Mar-2020 20:30:00,2369,64,5,37,39,64,2197,392,,
26-Mar-2020 08:00:00,2495,66,5,37,41,68,2315,,,56
26-Mar-2020 13:30:00,2666,68,8,,39,68,2483,432,,
26-Mar-2020 20:00:00,2693,70,8,38,46,67,2502,413,,
27-Mar-2020 08:00:00,3035,79,10,38,49,60,2837,464,,63
28-Mar-2020 09:00:00,3460,89,12,43,50,73,3236,469,,69
28-Mar-2020 20:00:00,3619,89,12,59,54,81,3383,493,,69
29-Mar-2020 08:00:00,3865,89,12,54,66,82,3616,500,,81
29-Mar-2020 21:00:00,4247,132,15,63,74,82,3944,500,,89
30-Mar-2020 08:00:00,4347,134,15,63,80,81,4037,543,,95
30-Mar-2020 20:00:00,4695,161,16,66,79,90,4349,527,,99
31-Mar-2020 08:00:00,4831,163,17,76,83,95,4473,573,,117
31-Mar-2020 21:00:00,5358,224,20,76,94,105,4915,587,,117
01-Apr-2020 08:00:00,5591,226,21,76,97,118,5129,637,,122
01-Apr-2020 20:00:00,6092,241,25,81,95,129,5602,663,,131
02-Apr-2020 08:00:00,6211,289,29,83,107,127,5659,735,,149
02-Apr-2020 20:00:00,6857,338,34,87,108,126,6251,771,,153
03-Apr-2020 10:00:00,7030,357,36,95,115,144,6378,732,,170
03-Apr-2020 20:30:00,7428,403,39,96,113,155,6718,681,,174
04-Apr-2020 09:30:00,7589,427,42,107,115,166,6839,747,,178
04-Apr-2020 20:30:00,7851,458,43,108,126,165,7059,734,,191
05-Apr-2020 08:00:00,8018,477,46,106,127,173,7195,739,,195
05-Apr-2020 20:30:00,8430,546,49,106,139,182,7514,763,,211
06-Apr-2020 08:00:00,8611,585,51,107,141,191,7643,763,,215
06-Apr-2020 21:00:00,8904,670,57,109,140,197,7840,730,,231
07-Apr-2020 08:00:00,9006,683,59,113,153,181,7930,708,,237
07-Apr-2020 21:00:00,9248,770,65,117,149,189,8075,725,,251
08-Apr-2020 08:00:00,9404,801,71,122,147,199,8186,740,,255
09-Apr-2020 10:00:00,9755,864,79,119,165,171,8476,712,,284
09-Apr-2020 21:00:00,9968,1011,86,121,166,171,8534,719,,296
10-Apr-2020 09:00:00,10095,1061,92,125,164,178,8600,721,,301
10-Apr-2020 21:00:00,10408,1183,95,124,167,173,8790,687,,310
11-Apr-2020 13:00:00,10525,1258,96,132,180,153,8838,722,,327
11-Apr-2020 21:00:00,10743,1341,101,129,175,154,8972,659,,327
12-Apr-2020 08:00:00,10878,1388,103,123,174,155,9058,731,,331
