תאריך,מספר בדיקות מצטבר,מספר חולים מאושפזים,מספר חולים מונשמים,מספר חולים מצטבר,מספר חולים קשה,מספר נפטרים מצטבר
26/01/2020 00:00:00,136,0,0,7,0,0
27/01/2020 00:00:00,137,0,0,7,0,0
28/01/2020 00:00:00,137,0,0,7,0,0
29/01/2020 00:00:00,143,0,0,7,0,0
30/01/2020 00:00:00,147,0,0,7,0,0
31/01/2020 00:00:00,147,0,0,7,0,0
01/02/2020 00:00:00,147,0,0,7,0,0
02/02/2020 00:00:00,154,0,0,7,0,0
03/02/2020 00:00:00,161,0,0,7,0,0
04/02/2020 00:00:00,167,0,0,7,0,0
05/02/2020 00:00:00,167,0,0,7,0,0
06/02/2020 00:00:00,167,0,0,7,0,0
07/02/2020 00:00:00,167,0,0,7,0,0
08/02/2020 00:00:00,167,0,0,7,0,0
09/02/2020 00:00:00,207,0,0,7,0,0
10/02/2020 00:00:00,235,0,0,7,0,0
11/02/2020 00:00:00,285,0,0,7,0,0
12/02/2020 00:00:00,320,0,0,7,0,0
13/02/2020 00:00:00,355,0,0,7,0,0
14/02/2020 00:00:00,385,0,0,7,0,0
15/02/2020 00:00:00,388,0,0,7,0,0
16/02/2020 00:00:00,411,0,0,7,0,0
17/02/2020 00:00:00,452,0,0,7,0,0
18/02/2020 00:00:00,498,0,0,7,0,0
19/02/2020 00:00:00,532,0,0,7,0,0
20/02/2020 00:00:00,561,0,0,7,0,0
21/02/2020 00:00:00,589,2,0,8,0,0
22/02/2020 00:00:00,602,2,0,8,0,0
23/02/2020 00:00:00,658,2,0,8,0,0
24/02/2020 00:00:00,733,2,0,9,0,0
25/02/2020 00:00:00,841,2,0,9,0,0
26/02/2020 00:00:00,949,2,0,9,0,0
27/02/2020 00:00:00,1120,3,0,10,0,0
28/02/2020 00:00:00,1238,5,0,13,0,0
29/02/2020 00:00:00,1396,5,0,13,0,0
01/03/2020 00:00:00,1583,7,0,14,0,0
02/03/2020 00:00:00,1754,10,0,19,0,0
03/03/2020 00:00:00,1989,10,0,22,0,0
04/03/2020 00:00:00,2118,12,0,22,0,0
05/03/2020 00:00:00,2291,13,0,31,1,0
06/03/2020 00:00:00,2565,16,1,35,2,0
07/03/2020 00:00:00,2901,19,2,39,3,0
08/03/2020 00:00:00,3322,26,4,48,5,0
09/03/2020 00:00:00,3840,40,4,52,5,0
10/03/2020 00:00:00,4360,61,5,85,6,0
11/03/2020 00:00:00,4761,84,6,104,7,0
12/03/2020 00:00:00,5368,107,6,126,7,0
13/03/2020 00:00:00,6062,126,6,161,7,0
14/03/2020 00:00:00,6676,166,4,190,6,0
15/03/2020 00:00:00,7859,205,6,230,9,0
16/03/2020 00:00:00,9203,224,7,303,11,0
17/03/2020 00:00:00,10849,259,7,397,12,0
18/03/2020 00:00:00,12955,312,7,522,16,0
19/03/2020 00:00:00,15031,300,12,658,21,0
20/03/2020 00:00:00,17348,293,12,826,23,1
21/03/2020 00:00:00,19456,284,15,1037,27,1
22/03/2020 00:00:00,22682,333,22,1291,38,1
23/03/2020 00:00:00,26205,363,24,1643,44,1
24/03/2020 00:00:00,30872,408,26,2066,48,4
25/03/2020 00:00:00,36797,428,28,2491,52,5
26/03/2020 00:00:00,43254,484,31,3011,56,10
27/03/2020 00:00:00,48993,533,37,3445,67,12
28/03/2020 00:00:00,54732,528,41,3924,70,13
29/03/2020 00:00:00,62298,557,50,4455,80,16
30/03/2020 00:00:00,69398,634,54,5003,89,17
31/03/2020 00:00:00,77386,684,64,5742,99,21
01/04/2020 00:00:00,86394,773,73,6438,111,29
02/04/2020 00:00:00,96621,818,79,7158,113,38
03/04/2020 00:00:00,106951,816,93,7757,131,43
04/04/2020 00:00:00,113306,790,107,8186,140,49
05/04/2020 00:00:00,122702,826,107,8771,135,56
06/04/2020 00:00:00,130200,807,110,9221,147,64
07/04/2020 00:00:00,137167,749,106,9598,160,72
08/04/2020 00:00:00,143046,697,115,9937,166,80
09/04/2020 00:00:00,148794,671,117,10280,166,89
10/04/2020 00:00:00,156141,676,128,10639,170,97
11/04/2020 00:00:00,162843,631,130,10984,182,103
12/04/2020 00:00:00,173441,674,130,11536,177,109
13/04/2020 00:00:00,184391,700,137,11974,192,118
14/04/2020 00:00:00,197069,689,134,12373,178,126
15/04/2020 00:00:00,206519,696,133,12684,179,139
16/04/2020 00:00:00,219307,707,137,12981,182,146
17/04/2020 00:00:00,230901,672,124,13279,165,155
18/04/2020 00:00:00,241507,643,118,13570,174,166
19/04/2020 00:00:00,252986,629,118,13846,157,174
20/04/2020 00:00:00,268351,606,123,14145,154,180
21/04/2020 00:00:00,281963,553,119,14427,145,190
22/04/2020 00:00:00,295256,530,110,14652,149,193
23/04/2020 00:00:00,309439,500,115,14928,146,197
24/04/2020 00:00:00,322067,469,110,15177,144,200
25/04/2020 00:00:00,331144,442,107,15336,136,203
26/04/2020 00:00:00,339608,438,111,15419,142,205
27/04/2020 00:00:00,351156,415,101,15546,132,209
28/04/2020 00:00:00,361797,395,100,15707,127,214
29/04/2020 00:00:00,370793,383,96,15789,122,220
30/04/2020 00:00:00,380723,378,90,15931,112,226
01/05/2020 00:00:00,391776,346,89,16047,109,230
02/05/2020 00:00:00,397344,338,90,16104,111,233
03/05/2020 00:00:00,405373,327,84,16131,101,236
04/05/2020 00:00:00,414633,309,78,16186,97,239
05/05/2020 00:00:00,423592,272,72,16219,91,241
06/05/2020 00:00:00,433058,268,70,16284,88,242
07/05/2020 00:00:00,443177,256,70,16345,84,243
08/05/2020 00:00:00,451334,244,64,16378,78,249
09/05/2020 00:00:00,455203,248,64,16398,78,252
10/05/2020 00:00:00,460147,246,66,16427,74,256
11/05/2020 00:00:00,469362,230,60,16466,69,261
12/05/2020 00:00:00,476900,220,56,16489,66,264
13/05/2020 00:00:00,485172,204,53,16528,61,267
14/05/2020 00:00:00,493588,199,52,16550,61,270
15/05/2020 00:00:00,499284,190,52,16562,61,270
16/05/2020 00:00:00,500786,184,51,16567,60,273
17/05/2020 00:00:00,505419,187,45,16582,55,277
18/05/2020 00:00:00,513111,173,43,16609,52,280
19/05/2020 00:00:00,520253,167,40,16631,51,282
20/05/2020 00:00:00,526221,160,41,16646,46,283
21/05/2020 00:00:00,532386,152,37,16663,47,283
22/05/2020 00:00:00,537381,144,37,16682,46,283
23/05/2020 00:00:00,538099,144,37,16687,46,283
24/05/2020 00:00:00,541907,142,34,16700,43,284
25/05/2020 00:00:00,547240,133,29,16722,41,286
26/05/2020 00:00:00,554059,125,32,16772,36,286
27/05/2020 00:00:00,560787,123,36,16812,40,288
28/05/2020 00:00:00,566140,123,34,16889,36,289
29/05/2020 00:00:00,568003,120,37,17002,39,289
30/05/2020 00:00:00,569062,126,33,17031,35,289
31/05/2020 00:00:00,574702,129,31,17118,35,289
01/06/2020 00:00:00,582857,128,29,17218,32,292
02/06/2020 00:00:00,594614,123,29,17339,29,294
03/06/2020 00:00:00,607823,122,25,17436,28,295
04/06/2020 00:00:00,622722,129,23,17578,30,295
05/06/2020 00:00:00,639196,123,23,17705,29,296
06/06/2020 00:00:00,650733,118,21,17783,29,300
07/06/2020 00:00:00,665831,126,23,17923,29,302
08/06/2020 00:00:00,680475,137,23,18102,30,302
09/06/2020 00:00:00,695539,133,24,18276,31,303
10/06/2020 00:00:00,714023,142,24,18517,32,304
11/06/2020 00:00:00,729833,137,24,18709,35,304
12/06/2020 00:00:00,742965,140,25,18893,35,304
13/06/2020 00:00:00,749952,137,26,19042,35,305
14/06/2020 00:00:00,758792,147,23,19178,31,307
15/06/2020 00:00:00,773228,159,25,19377,36,307
16/06/2020 00:00:00,789467,156,26,19676,38,308
17/06/2020 00:00:00,805491,162,29,19947,36,308
18/06/2020 00:00:00,822883,190,28,20249,40,308
19/06/2020 00:00:00,835670,194,29,20559,39,309
20/06/2020 00:00:00,841680,217,28,20720,41,310
21/06/2020 00:00:00,850832,250,29,20893,45,310
22/06/2020 00:00:00,864841,236,29,21238,44,311
23/06/2020 00:00:00,884688,221,26,21690,40,313
24/06/2020 00:00:00,903081,226,27,22177,45,316
25/06/2020 00:00:00,921747,221,28,22693,44,320
26/06/2020 00:00:00,938278,241,26,23157,45,323
27/06/2020 00:00:00,948767,244,22,23555,40,326
28/06/2020 00:00:00,959156,272,22,23941,39,328
29/06/2020 00:00:00,980173,277,24,24697,44,328
30/06/2020 00:00:00,1001013,296,24,25486,56,329
01/07/2020 00:00:00,1022473,333,24,26457,59,332
02/07/2020 00:00:00,1047515,345,28,27606,72,333
03/07/2020 00:00:00,1068468,360,29,28547,83,336
04/07/2020 00:00:00,1085776,370,33,29368,85,341
05/07/2020 00:00:00,1106888,428,32,30199,94,343
06/07/2020 00:00:00,1132489,450,34,31333,90,351
07/07/2020 00:00:00,1161123,469,35,32723,93,356
08/07/2020 00:00:00,1190543,496,38,34050,113,361
09/07/2020 00:00:00,1220531,553,41,35575,126,366
10/07/2020 00:00:00,1246360,563,41,36985,130,370
11/07/2020 00:00:00,1266828,568,46,38153,136,375
12/07/2020 00:00:00,1288591,643,47,39392,151,382
