date,ECMO,ECMO_filled,mild,medium,severe,vent,level1,level2,level3,level6,load
21/04/2020,5,5,262,146,145,119,408,34.125,357,30,829.125
22/04/2020,5,5,259,122,149,110,381,55.25,330,30,796.25
23/04/2020,NaN,5,248,106,146,115,354,42.25,345,30,771.25
24/04/2020,NaN,5,216,109,144,110,325,47.125,330,30,732.125
25/04/2020,5,5,201,105,136,107,306,39,321,30,696
26/04/2020,NaN,5,205,91,142,111,296,42.25,333,30,701.25
27/04/2020,NaN,5,194,89,132,101,283,42.25,303,30,658.25
28/04/2020,5,5,183,85,127,100,268,35.75,300,30,633.75
29/04/2020,NaN,5,175,86,122,96,261,34.125,288,30,613.125
30/04/2020,NaN,5,179,87,112,90,266,27.625,270,30,593.625
01/05/2020,5,5,156,81,109,89,237,24.375,267,30,558.375
02/05/2020,5,5,160,67,111,90,227,26,270,30,553
03/05/2020,5,5,155,71,101,84,226,19.5,252,30,527.5
04/05/2020,NaN,5,141,71,97,78,212,22.75,234,30,498.75
05/05/2020,NaN,5,120,61,91,72,181,22.75,216,30,449.75
06/05/2020,NaN,4.97183098591549,119,61,88,70,180,21.1707746478873,210,30,441.170774647887
07/05/2020,NaN,4.94366197183099,112,60,84,70,172,14.7165492957746,210,30,426.716549295775
08/05/2020,NaN,4.91549295774648,113,53,78,64,166,14.762323943662,192,30,402.762323943662
09/05/2020,NaN,4.88732394366197,120,50,78,64,170,14.8080985915493,192,30,406.808098591549
10/05/2020,NaN,4.85915492957746,121,51,74,66,172,5.10387323943663,198,30,405.103873239437
11/05/2020,NaN,4.83098591549296,107,54,69,60,161,6.77464788732394,180,30,377.774647887324
12/05/2020,NaN,4.80281690140845,102,52,66,56,154,8.44542253521127,168,30,360.445422535211
13/05/2020,NaN,4.77464788732394,95,48,61,53,143,5.2411971830986,159,30,337.241197183099
14/05/2020,NaN,4.74647887323944,95,43,61,52,138,6.91197183098591,156,30,330.911971830986
15/05/2020,NaN,4.71830985915493,86,43,61,52,129,6.95774647887324,156,30,321.957746478873
16/05/2020,NaN,4.69014084507042,84,40,60,51,124,7.00352112676057,153,30,314.003521126761
17/05/2020,NaN,4.66197183098592,94,38,55,45,132,8.67429577464788,135,30,305.674295774648
18/05/2020,NaN,4.63380281690141,79,42,52,43,121,7.09507042253521,129,30,287.095070422535
19/05/2020,NaN,4.6056338028169,73,43,51,40,116,10.3908450704225,120,30,276.390845070423
20/05/2020,NaN,4.57746478873239,74,40,46,41,114,0.686619718309867,123,30,267.68661971831
21/05/2020,NaN,4.54929577464789,74,31,47,37,105,8.85739436619718,111,30,254.857394366197
22/05/2020,NaN,4.52112676056338,66,32,46,37,98,7.27816901408451,111,30,246.278169014085
23/05/2020,NaN,4.49295774647887,65,33,46,37,98,7.32394366197184,111,24,240.323943661972
24/05/2020,NaN,4.46478873239437,63,36,43,34,99,7.36971830985915,102,24,232.369718309859
25/05/2020,NaN,4.43661971830986,60,32,41,29,92,12.2904929577465,87,24,215.290492957746
26/05/2020,NaN,4.40845070422535,52,37,36,32,89,-0.663732394366194,96,24,208.336267605634
27/05/2020,NaN,4.38028169014085,46,37,40,36,83,-0.617957746478882,108,24,214.382042253521
28/05/2020,NaN,4.35211267605634,50,37,36,34,87,-3.82218309859155,102,24,209.177816901408
29/05/2020,NaN,4.32394366197183,45,36,39,37,81,-3.77640845070422,111,24,212.223591549296
30/05/2020,NaN,4.29577464788732,48,43,35,33,91,-3.7306338028169,99,24,210.269366197183
31/05/2020,NaN,4.26760563380282,47,47,35,31,94,-0.434859154929582,93,24,210.56514084507
01/06/2020,NaN,4.23943661971831,51,45,32,29,96,-2.01408450704225,87,24,204.985915492958
02/06/2020,NaN,4.2112676056338,50,44,29,29,94,-6.84330985915493,87,24,198.156690140845
03/06/2020,NaN,4.1830985915493,52,42,28,25,94,-1.92253521126761,75,24,191.077464788732
04/06/2020,NaN,4.15492957746479,62,37,30,23,99,4.62323943661972,69,24,196.62323943662
05/06/2020,NaN,4.12676056338028,53,41,29,23,94,3.04401408450704,69,24,190.044014084507
06/06/2020,NaN,4.09859154929577,47,42,29,21,89,6.33978873239437,63,24,182.339788732394
07/06/2020,NaN,4.07042253521127,55,42,29,23,97,3.13556338028169,69,24,193.135563380282
08/06/2020,NaN,4.04225352112676,61,46,30,23,107,4.80633802816901,69,24,204.806338028169
09/06/2020,NaN,4.01408450704225,60,42,31,24,102,4.85211267605634,72,24,202.852112676056
10/06/2020,NaN,3.98591549295775,65,45,32,24,110,6.52288732394366,72,24,212.522887323944
11/06/2020,NaN,3.95774647887324,64,38,35,24,102,11.443661971831,72,24,209.443661971831
12/06/2020,NaN,3.92957746478873,62,43,35,25,105,9.86443661971831,75,24,213.864436619718
13/06/2020,NaN,3.90140845070423,57,45,35,26,102,8.28521126760563,78,24,212.285211267606
14/06/2020,NaN,3.87323943661972,68,48,31,23,116,6.70598591549296,69,24,215.705985915493
15/06/2020,NaN,3.84507042253521,76,47,36,25,123,11.6267605633803,75,24,233.62676056338
16/06/2020,NaN,3.8169014084507,74,44,38,26,118,13.2975352112676,78,24,233.297535211268
17/06/2020,NaN,3.7887323943662,77,49,36,29,126,5.21830985915492,87,24,242.218309859155
18/06/2020,NaN,3.76056338028169,107,43,40,28,150,13.3890845070423,84,24,271.389084507042
19/06/2020,NaN,3.73239436619718,108,47,39,29,155,10.1848591549296,87,24,276.18485915493
20/06/2020,NaN,3.70422535211268,126,50,41,28,176,15.1056338028169,84,24,299.105633802817
21/06/2020,NaN,3.67605633802817,146,59,45,29,205,20.0264084507042,87,24,336.026408450704
22/06/2020,NaN,3.64788732394366,136,56,44,29,192,18.4471830985916,87,24,321.447183098592
23/06/2020,NaN,3.61971830985915,129,52,40,26,181,16.8679577464789,78,24,299.867957746479
24/06/2020,NaN,3.59154929577465,136,45,45,27,181,23.4137323943662,81,24,309.413732394366
25/06/2020,NaN,3.56338028169014,121,56,44,28,177,20.2095070422535,84,24,305.209507042254
26/06/2020,NaN,3.53521126760563,139,57,45,26,196,25.1302816901409,78,24,323.130281690141
27/06/2020,NaN,3.50704225352113,148,56,40,22,204,23.5510563380282,66,24,317.551056338028
28/06/2020,NaN,3.47887323943662,166,67,39,22,233,21.9718309859155,66,18,338.971830985916
29/06/2020,NaN,3.45070422535211,165,68,44,24,233,26.8926056338028,72,18,349.892605633803
30/06/2020,NaN,3.42253521126761,172,68,56,24,240,46.4383802816901,72,18,376.43838028169
01/07/2020,NaN,3.3943661971831,201,73,59,24,274,51.3591549295775,72,18,415.359154929577
02/07/2020,NaN,3.36619718309859,201,72,72,28,273,66.0299295774648,84,18,441.029929577465
03/07/2020,NaN,3.33802816901408,202,75,83,29,277,82.3257042253521,87,18,464.325704225352
04/07/2020,NaN,3.30985915492958,201,84,85,33,285,79.1214788732394,99,18,481.121478873239
05/07/2020,NaN,3.28169014084507,252,82,94,32,334,95.4172535211268,96,18,543.417253521127
06/07/2020,0,3.25352112676056,263,97,90,34,360,85.7130281690141,102,18,565.713028169014
07/07/2020,NaN,3.22535211267606,281,95,93,35,376,89.0088028169014,105,18,588.008802816901
08/07/2020,NaN,3.19718309859155,294,89,113,38,383,116.679577464789,114,18,631.679577464789
09/07/2020,2,3.16901408450704,327,100,126,41,427,132.975352112676,123,18,700.975352112676
10/07/2020,NaN,3.14084507042254,328,105,131,41,433,141.146126760563,123,18,715.146126760563
11/07/2020,NaN,3.11267605633803,312,120,136,46,432,141.191901408451,138,18,729.191901408451
12/07/2020,NaN,3.08450704225352,367,125,151,47,492,163.987676056338,141,18,814.987676056338
13/07/2020,NaN,3.05633802816901,353,121,184,53,474,207.908450704225,159,18,858.908450704225
14/07/2020,NaN,3.02816901408451,314,140,190,55,454,214.454225352113,165,18,851.454225352113
15/07/2020,3,3,352,121,209,58,473,240.5,174,18,905.5
16/07/2020,3,3,351,133,209,59,484,238.875,177,18,917.875
17/07/2020,NaN,3,337,150,219,58,487,256.75,174,18,935.75
18/07/2020,NaN,3.54545454545455,328,150,235,56,478,285.113636363636,168,24,955.113636363636
19/07/2020,NaN,4.09090909090909,414,144,270,73,558,313.477272727273,219,24,1114.47727272727
20/07/2020,NaN,4.63636363636364,412,148,264,78,560,294.715909090909,234,30,1118.71590909091
21/07/2020,NaN,5.18181818181818,413,142,256,80,555,277.579545454545,240,30,1102.57954545455
22/07/2020,NaN,5.72727272727273,384,138,284,79,522,323.818181818182,237,36,1118.81818181818
23/07/2020,NaN,6.27272727272727,361,152,309,83,513,357.056818181818,249,36,1155.05681818182
24/07/2020,NaN,6.81818181818182,337,152,326,86,489,378.920454545455,258,42,1167.92045454545
25/07/2020,NaN,7.36363636363636,322,178,319,97,500,348.784090909091,291,42,1181.78409090909
26/07/2020,NaN,7.90909090909091,388,197,309,98,585,330.022727272727,294,48,1257.02272727273
27/07/2020,NaN,8.45454545454545,423,182,314,93,605,345.386363636364,279,48,1277.38636363636
28/07/2020,NaN,9,399,185,320,92,584,355.875,276,54,1269.875
29/07/2020,NaN,9.54545454545455,389,173,333,94,562,372.863636363636,282,60,1276.86363636364
30/07/2020,NaN,10.0909090909091,377,172,316,99,549,336.227272727273,297,60,1242.22727272727
31/07/2020,NaN,10.6363636363636,375,172,315,91,547,346.715909090909,273,66,1232.71590909091
01/08/2020,NaN,11.1818181818182,370,165,335,91,535,378.329545454545,273,66,1252.32954545455
02/08/2020,NaN,11.7272727272727,429,171,347,97,600,387.193181818182,291,72,1350.19318181818
03/08/2020,NaN,12.2727272727273,449,147,326,91,596,361.931818181818,273,72,1302.93181818182
04/08/2020,NaN,12.8181818181818,384,165,339,95,549,375.670454545455,285,78,1287.67045454545
05/08/2020,NaN,13.3636363636364,386,164,352,102,550,384.534090909091,306,78,1318.53409090909
06/08/2020,NaN,13.9090909090909,379,152,354,94,531,399.897727272727,282,84,1296.89772727273
07/08/2020,NaN,14.4545454545455,363,159,364,101,522,403.886363636364,303,84,1312.88636363636
08/08/2020,14,15,339,178,384,98,517,440.375,294,90,1341.375
09/08/2020,15,15,420,199,384,107,619,425.75,321,90,1455.75
10/08/2020,NaN,15,366,183,390,107,549,435.5,321,90,1395.5
11/08/2020,NaN,15,342,190,371,108,532,403,324,90,1349
12/08/2020,NaN,14.952380952381,338,171,370,105,509,406.327380952381,315,90,1320.32738095238
13/08/2020,NaN,14.9047619047619,343,178,369,106,521,403.154761904762,318,90,1332.15476190476
14/08/2020,18,14.8571428571429,343,179,367,101,522,408.107142857143,303,90,1323.10714285714
15/08/2020,NaN,14.8095238095238,360,179,381,108,539,419.559523809524,324,90,1372.55952380952
16/08/2020,NaN,14.7619047619048,420,196,373,105,616,411.511904761905,315,90,1432.5119047619
17/08/2020,NaN,14.7142857142857,372,183,392,107,555,439.214285714286,321,90,1405.21428571429
18/08/2020,NaN,14.6666666666667,371,185,397,111,556,440.916666666667,333,90,1419.91666666667
19/08/2020,NaN,14.6190476190476,364,178,380,110,542,414.994047619048,330,90,1376.99404761905
20/08/2020,NaN,14.5714285714286,355,176,391,109,531,434.571428571429,327,90,1382.57142857143
21/08/2020,NaN,14.5238095238095,352,169,398,109,521,446.02380952381,327,90,1384.02380952381
22/08/2020,NaN,14.4761904761905,354,179,401,113,533,444.47619047619,339,84,1400.47619047619
23/08/2020,NaN,14.4285714285714,402,209,403,112,611,449.428571428571,336,84,1480.42857142857
24/08/2020,NaN,14.3809523809524,402,200,422,116,602,473.880952380952,348,84,1507.88095238095
25/08/2020,NaN,14.3333333333333,385,180,424,115,565,478.833333333333,345,84,1472.83333333333
26/08/2020,NaN,14.2857142857143,413,188,413,115,601,461.035714285714,345,84,1491.03571428571
27/08/2020,NaN,14.2380952380952,406,191,417,114,597,469.238095238095,342,84,1492.2380952381
28/08/2020,NaN,14.1904761904762,353,202,414,110,555,470.940476190476,330,84,1439.94047619048
29/08/2020,NaN,14.1428571428571,335,195,434,115,530,495.392857142857,345,84,1454.39285714286
30/08/2020,NaN,14.0952380952381,415,212,448,124,627,503.595238095238,372,84,1586.59523809524
31/08/2020,NaN,14.047619047619,442,206,430,118,648,484.172619047619,354,84,1570.17261904762
01/09/2020,NaN,14,407,198,411,115,605,458.25,345,84,1492.25
02/09/2020,NaN,13.952380952381,410,170,414,119,580,456.702380952381,357,84,1477.70238095238
03/09/2020,NaN,13.9047619047619,424,158,406,114,582,451.904761904762,342,84,1459.90476190476
04/09/2020,NaN,13.8571428571429,416,147,419,118,563,466.607142857143,354,84,1467.60714285714
05/09/2020,NaN,13.8095238095238,408,148,438,124,556,487.809523809524,372,84,1499.80952380952
